,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi
97,2020-02-28 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,1,0.0,1,2,3,2,0,0,3,242
98,2020-02-28 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0.0,0,0,0,0,0,0,0,1
99,2020-02-28 18:00:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0.0,1,1,2,0,2,0,4,5
100,2020-02-28 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,5,0.0,5,2,7,5,1,0,8,437
101,2020-02-28 18:00:00,ITA,4,Trento,46.06893511,11.12123097,0,0.0,0,0,0,0,0,0,0,32
102,2020-02-28 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0.0,0,0,0,0,0,0,0,8
103,2020-02-28 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0.0,0,0,0,0,0,0,0,9
104,2020-02-28 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,24,9.0,33,116,149,40,0,2,151,7414
105,2020-02-29 17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,2,0.0,2,0,2,1,0,0,2,43
106,2020-02-29 17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0.0,0,0,0,0,0,0,0,32
107,2020-02-29 17:00:00,ITA,4,Bolzano,46.49933453,11.35662422,1,0.0,1,0,1,0,0,0,1,16
108,2020-02-29 17:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0.0,0,1,1,0,0,0,1,27
109,2020-02-29 17:00:00,ITA,15,Campania,40.83956555,14.25084984,3,0.0,3,10,13,9,0,0,13,373
110,2020-02-29 17:00:00,ITA,8,Emilia Romagna,44.49436681,11.3417208,86,11.0,97,116,213,70,0,4,217,1550
111,2020-02-29 17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0.0,0,0,0,0,0,0,0,189
112,2020-02-29 17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3,0.0,3,0,3,3,3,0,6,679
113,2020-02-29 17:00:00,ITA,7,Liguria,44.41149315,8.9326992,4,1.0,5,33,38,19,4,0,42,121
114,2020-02-29 17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,256,80.0,336,216,552,78,40,23,615,5723
115,2020-02-29 17:00:00,ITA,11,Marche,43.61675973,13.5188753,6,2.0,8,3,11,5,0,0,11,68
116,2020-02-29 17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0.0,0,0,0,0,0,0,0,0
